"Source:","/home/manus/KiCad/salt/salt_ihm/salt_ihm.kicad_sch"
"Date:","Wed 24 Apr 2024 03:17:26 PM -03"
"Tool:","Eeschema 6.0.10-86aedd382b~118~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","LED7","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"","","LED8","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"","","LED9","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"","","LED10","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"","","LED11","WP154A4SEJ3VBDZGW_CA","salt:WP154A4SEJ3VBDZGW_CA","salt:L-154A4SUREQBFZGEC","http://www.kingbrightusa.com/images/catalog/SPEC/WP154A4SEJ3VBDZGW-CA.pdf","","Kingbright","WP154A4SEJ3VBDZGW/CA","604-WP154A43VBDZGWCA","https://www.mouser.co.uk/ProductDetail/Kingbright/WP154A4SEJ3VBDZGW-CA?qs=YCa%2FAAYMW01xRqZww6UuiQ%3D%3D"
"","","LED12","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"","","LED13","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"","","LED14","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"","","LED15","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"","","LED16","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"","","LED17","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"","","LED18","WP7113LZGCK","salt:WP7113LZGCK","salt:WP7113LZGCK","https://www.mouser.com/datasheet/2/216/WP7113LZGCK-535810.pdf","8.85","Kingbright","WP7113LZGCK","604-WP7113LZGCK","https://www.mouser.com/ProductDetail/Kingbright/WP7113LZGCK?qs=6oMev5NRZME0vaccujctkg%3D%3D"
"","","LS1","CEM-1205-IC","salt:CEM-1205-IC","salt:CEM1205IC","https://www.cuidevices.com/product/resource/cem-1205-ic.pdf","10","CUI Devices","CEM-1205-IC","490-CEM1205IC","https://www.mouser.co.uk/ProductDetail/CUI-Devices/CEM-1205-IC?qs=hd1VzrDQEGhFNAzregGKGQ%3D%3D"
"","","Q1","NVTR0202PLT1G","salt:NVTR0202PLT1G","salt:SOT96P237X111-3N","https://componentsearchengine.com/Datasheets/2/NVTR0202PLT1G.pdf","1.11","onsemi","NVTR0202PLT1G","863-NVTR0202PLT1G","https://www.mouser.co.uk/ProductDetail/onsemi/NVTR0202PLT1G?qs=3PKVEWFFm29UPkq%2FAwGemg%3D%3D"
"","","R1","150k","salt:R_150K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","","YAGEO","RC0805FR-13150KL","603-RC0805FR-13150KL","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-13150KL?qs=m6lXFsvg5e2Mp%2Fy7W%252BnUqg%3D%3D"
"","","R2","100","salt:R_100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","https://ar.mouser.com/datasheet/2/447/PYu_RC_Group_51_RoHS_L_11-1984063.pdf","","YAGEO","RC0805FR-10100RL","603-RC0805FR-10100RL","https://ar.mouser.com/ProductDetail/YAGEO/RC0805FR-10100RL?qs=g6xwsc4j%252B%2FoYV9cxut0j6Q%3D%3D"
